51075.354734 r 19.952 0.021
51075.355567 i 20.005 0.032
51075.356401 u 20.441 0.053
51075.357234 z 19.759 0.111
51075.358067 g 20.154 0.021
51819.409562 r 19.632 0.017
51819.410395 i 19.652 0.023
51819.411229 u 20.001 0.049
51819.412062 z 19.318 0.071
51819.412895 g 20.111 0.019
52196.373921 r 19.592 0.017
52196.374754 i 19.616 0.025
52196.375588 u 19.943 0.045
52196.376421 z 19.417 0.078
52196.377254 g 19.687 0.015
52197.368342 r 19.575 0.018
52197.369175 i 19.599 0.023
52197.370009 u 19.989 0.045
52197.370842 z 19.422 0.067
52197.371675 g 19.702 0.015
52207.340714 r 19.638 0.017
52207.341547 i 19.711 0.023
52207.342381 u 19.951 0.042
52207.343214 z 19.598 0.073
52207.344047 g 19.756 0.015
52225.218536 r 19.627 0.017
52225.219369 i 19.659 0.022
52225.220203 u 20.077 0.045
52225.221036 z 19.474 0.068
52225.221869 g 19.714 0.014
52231.254318 r 19.627 0.020
52231.255151 i 19.673 0.026
52231.255985 u 20.054 0.044
52231.256818 z 19.567 0.073
52231.257651 g 19.754 0.017
52234.225409 r 19.596 0.018
52234.226242 i 19.670 0.024
52234.227076 u 19.953 0.046
52234.227909 z 19.557 0.068
52234.228742 g 19.741 0.015
52557.362319 r 19.393 0.016
52557.363152 i 19.504 0.023
52557.363986 u 19.696 0.041
52557.364819 z 19.134 0.066
52557.365652 g 19.494 0.014
52578.258405 r 19.368 0.015
52578.259238 i 19.502 0.019
52578.260072 u 19.709 0.033
52578.260905 z 19.404 0.065
52578.261738 g 19.511 0.012
52908.336885 r 19.517 0.016
52908.337718 i 19.568 0.022
52908.338552 u 19.865 0.041
52908.339385 z 19.522 0.072
52908.340218 g 19.639 0.014
52912.316323 r 19.532 0.016
52912.317156 i 19.606 0.022
52912.317990 u 19.848 0.041
52912.318823 z 19.435 0.065
52912.319656 g 19.598 0.014
52934.268788 r 19.527 0.018
52934.269621 i 19.579 0.024
52934.270455 u 19.934 0.046
52934.271288 z 19.334 0.076
52934.272121 g 19.650 0.014
52936.264714 r 19.542 0.016
52936.265547 i 19.592 0.022
52936.266381 u 19.759 0.038
52936.267214 z 19.526 0.071
52936.268047 g 19.626 0.014
53270.328781 r 19.739 0.019
53270.329614 i 19.767 0.027
53270.330447 u 20.121 0.054
53270.331281 z 19.583 0.062
#53270.332114 g -99.000 0.030
53272.378715 r 19.679 0.017
53272.379548 i 19.766 0.024
53272.380382 u 20.215 0.056
53272.381215 z 19.395 0.067
53272.382048 g 19.755 0.016
53286.347436 r 19.704 0.019
53286.348269 i 19.782 0.024
53286.349103 u 20.092 0.054
