class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,351309661451872256,229.77299,-0.70993294,0.0763518,49.23843,40.72977,44.30863,47.65438,175.9859,35.66457,3.540319,5.124499,-41.30451
GALAXY,351384703120467968,228.70963,0.93785488,0.03750645,45.22627,29.68885,8.689637,17.13188,56.49223,17.72043,9.242865,2.989831,-17.96188
GALAXY,351390475556513792,228.92705,-0.027435468,0.05283725,73.56523,17.98121,90.63321,63.88128,289.3425,48.48558,30.32195,9.971193,-18.52105
GALAXY,351395423358838784,228.80701,1.0927032,0.03761581,55.95933,66.24946,157.071,142.5451,504.1039,105.6942,75.50231,17.08706,-31.78562
GALAXY,351402020428605440,229.33242,0.95850168,0.03956334,83.49313,23.41752,275.1685,111.4561,585.7791,83,62.98067,13.57328,-21.47517
GALAXY,351443252114647040,229.99833,-0.12392036,0.115164,62.53737,5.288973,15.07976,6.421618,22.78919,3.451877,0.3126016,3.045269,-1.239829
GALAXY,351455071864645632,230.3974,0.2275044,0.05033481,1,3.842294,1.820343,4.91891,6.534145,1.286435,0.5140725,2.537247,-0.6227137
GALAXY,352437485235628032,231.95175,-0.041594258,0.1146477,142.0934,-0.7717814,99.20681,21.49078,131.2612,32.23588,32.25337,10.07637,-12.06266
GALAXY,352443257671673856,231.30141,-0.79564718,0.1233328,157.6848,11.25661,8.282546,5.659132,26.31398,5.836711,-1.883404,4.672492,-0.6897606
GALAXY,352451778886789120,231.43247,-0.32921365,0.05883771,57.93652,9.527822,19.52268,13.92793,56.3969,14.77878,8.529859,1.072986,-9.836548
GALAXY,352472944485623808,230.65274,-1.0022021,0.2566339,155.881,-515.1161,1969.89,-103.2444,-443.6548,400.7434,637.5655,27.24187,-27.00415
GALAXY,352480915944925184,230.71901,-0.40742443,0.2285782,202.6563,17.89793,103.3013,31.46928,179.8855,36.63988,20.98496,4.386135,-13.39268
GALAXY,352489437160040448,229.97743,-0.10899116,0.05104167,43.30774,27.37442,26.0812,28.06429,127.9249,31.12742,20.62228,7.917173,-24.43673
GALAXY,352504555444922368,230.35129,0.11412758,0.07617257,143.0772,34.22557,101.2664,19.89893,69.883,49.62626,23.31898,13.83027,-2.364122
GALAXY,352556232491427840,231.81244,0.36359669,0.04986536,119.7559,17.76064,55.19452,16.60657,39.21604,14.67975,9.087534,8.653083,-1.043507
GALAXY,352557606880962560,231.83373,0.27351627,0.08075994,103.1999,18.43358,105.3333,35.27158,241.7897,46.2031,42.40659,13.79175,-25.44512
GALAXY,352574374433286144,231.68869,0.82352542,0.1155941,110.402,11.40756,131.0477,59.52411,287.0119,41.65344,27.92787,5.369378,-25.93116
GALAXY,354699455364098048,235.24493,-0.55216574,0.199826,130.8927,4.059264,43.68645,9.53277,97.36779,13.80507,7.680067,1.990689,-11.43689
GALAXY,354703028776888320,234.99128,-0.6184202,0.1656583,127.4331,17.16143,25.33444,14.34919,32.76505,13.77056,5.254651,4.727596,-2.193139
GALAXY,354718696817584128,234.27243,-1.0968281,0.1201835,78.09975,10.56967,10.92639,17.34615,43.20926,4.884301,-3.18889,0.2679799,-0.7343597
GALAXY,354723644619909120,234.35437,0.12914078,0.1486017,120.8558,11.05953,61.17863,30.32794,170.6071,35.48605,16.86288,2.575585,-16.36144
GALAXY,354757454602463232,233.35902,0.33736567,0.08256026,17.58306,-2.39296,0.7730857,-0.07423466,4.729104,-1.161942,-6.958313,0.4843942,-0.2290899
GALAXY,354784392637343744,234.76781,1.1031598,0.06530905,45.68329,16.7099,19.83277,19.45153,71.59829,17.92801,10.83889,5.133117,-16.00464
GALAXY,354788515805947904,234.47201,0.79364004,0.152872,98.96942,24.81228,100.8342,35.34545,182.2696,32.22036,24.52856,6.976273,-25.0743
GALAXY,354797037021063168,235.18968,0.74431182,0.1235595,80.40663,7.401662,59.51171,35.81568,166.113,22.43754,23.45732,6.532171,-25.90825
GALAXY,354822325788502016,235.60257,0.42831039,0.1113452,52.19623,6.591638,22.11185,11.11004,37.1644,0,0,3.739328,-4.357483
GALAXY,367052755325446144,173.04341,-2.5752321,0.1044022,55.97308,-2.2131,3.646061,1.161868,5.424212,-3.806231,-2.944131,0.7013021,-0.3915391
GALAXY,367053579959166976,173.09086,-2.4345489,0.01608622,38.48887,37.30538,4.830392,17.5731,54.60531,11.5231,7.963228,2.022939,-20.16964
GALAXY,367060177028933632,172.77517,-2.6096609,0.1659205,156.04,7.048795,29.82246,4.610041,17.68426,4.231234,6.801405,5.806968,-1.954501
GALAXY,367069247999862784,172.07686,-3.2299652,0.333795,118.033,5.821595,10.4931,7.31743,16.5558,-6.388237,4.052773,1.939536,-9.53451
GALAXY,367070622389397504,171.93515,-3.2151244,0.07429706,47.33104,3.007913,12.82181,10.57145,37.0878,9.857359,5.770622,0.1898904,-8.997441
GALAXY,367080243116140544,171.61537,-3.1384972,0.3295977,158.2531,6.827069,-32.91548,-0.7955768,12.60365,-10.11475,-19.28733,-0.1477402,-1.846112
GALAXY,367090413598697472,171.76077,-2.6710809,0.1193511,117.1648,1.149759,7.323916,3.281991,10.40213,5.087865,-0.773688,9.675853,-0.2639466
GALAXY,367160232587061248,171.55384,-1.8559377,0.04451415,129.4023,-10.136,1.5028,2.73915,7.220509,-3.668113,2.031538,3.052479,0.1127491
GALAXY,367182497697523712,172.14182,-1.8018908,0.1048111,134.023,232.7667,254.0723,119.1536,519.7364,108.3591,86.56197,25.01838,-23.62815
GALAXY,367184421842872320,172.07141,-2.0536377,0.1090322,0,0,0,0,0,0,0,0,0
GALAXY,368202293373331456,174.17535,-2.5604151,0.04228481,170.6363,51.49804,115.1573,40.54182,122.4645,53.79337,33.94181,3.373807,-1.965922
GALAXY,368242150669838336,172.99076,-2.9235891,0.005219562,35.57489,204.844,78.69697,166.9907,534.9504,124.0369,87.96091,15.48616,-48.76112
GALAXY,368250671884953600,172.81534,-3.6109269,0.1998705,116.4085,10.66551,57.62344,31.82594,152.8589,22.26414,13.08176,3.336053,-12.73248
